ts,raw_demand
2025-05-27 00:00:00,4668.81
2025-05-27 00:15:00,4583.86
2025-05-27 00:30:00,4443.09
2025-05-27 00:45:00,4459.67
2025-05-27 01:00:00,4357.34
2025-05-27 01:15:00,4247.36
2025-05-27 01:30:00,4206.18
2025-05-27 01:45:00,4160.14
2025-05-27 02:00:00,4009.35
2025-05-27 02:15:00,3982.54
2025-05-27 02:30:00,3976.13
2025-05-27 02:45:00,3921.91
2025-05-27 03:00:00,3901.44
2025-05-27 03:15:00,3866.56
2025-05-27 03:30:00,3855.13
2025-05-27 03:45:00,3729.58
2025-05-27 04:00:00,3716.05
2025-05-27 04:15:00,3765.06
2025-05-27 04:30:00,3730.93
2025-05-27 04:45:00,3695.68
2025-05-27 05:00:00,3654.07
2025-05-27 05:15:00,3722.23
2025-05-27 05:30:00,3703.95
2025-05-27 05:45:00,3694.13
2025-05-27 06:00:00,3768.65
2025-05-27 06:15:00,3776.52
2025-05-27 06:30:00,3764.82
2025-05-27 06:45:00,3738.57
2025-05-27 07:00:00,3706.15
2025-05-27 07:15:00,3568.3
2025-05-27 07:30:00,3566.58
2025-05-27 07:45:00,3477.17
2025-05-27 08:00:00,3449.01
2025-05-27 08:15:00,3507.35
2025-05-27 08:30:00,3426.95
2025-05-27 08:45:00,3431.43
2025-05-27 09:00:00,3439.23
2025-05-27 09:15:00,3551.38
2025-05-27 09:30:00,3619.03
2025-05-27 09:45:00,3615.59
2025-05-27 10:00:00,3676.85
2025-05-27 10:15:00,3676.96
2025-05-27 10:30:00,3629.85
2025-05-27 10:45:00,3590.38
2025-05-27 11:00:00,3586.14
2025-05-27 11:15:00,3578.66
2025-05-27 11:30:00,3579.21
2025-05-27 11:45:00,3596.47
2025-05-27 12:00:00,3634.49
2025-05-27 12:15:00,3615.72
2025-05-27 12:30:00,3652.81
2025-05-27 12:45:00,3677.24
2025-05-27 13:00:00,3653.66
2025-05-27 13:15:00,3689.94
2025-05-27 13:30:00,3748.86
2025-05-27 13:45:00,3736.34
2025-05-27 14:00:00,3868.42
2025-05-27 14:15:00,3984.29
2025-05-27 14:30:00,4093.41
2025-05-27 14:45:00,4084.9
2025-05-27 15:00:00,4245.98
2025-05-27 15:15:00,4179.47
2025-05-27 15:30:00,4294.35
2025-05-27 15:45:00,4290.79
2025-05-27 16:00:00,4345.98
2025-05-27 16:15:00,4360.62
2025-05-27 16:30:00,4371.6
2025-05-27 16:45:00,4359.26
2025-05-27 17:00:00,4266.42
2025-05-27 17:15:00,4305.08
2025-05-27 17:30:00,4219.66
2025-05-27 17:45:00,4224.06
2025-05-27 18:00:00,4213.76
2025-05-27 18:15:00,4242.19
2025-05-27 18:30:00,4409.49
2025-05-27 18:45:00,4657.82
2025-05-27 19:00:00,4747.92
2025-05-27 19:15:00,4716.92
2025-05-27 19:30:00,4793.67
2025-05-27 19:45:00,4793.16
2025-05-27 20:00:00,4802.99
2025-05-27 20:15:00,4705.18
2025-05-27 20:30:00,4714.06
2025-05-27 20:45:00,4793.81
2025-05-27 21:00:00,4789.54
2025-05-27 21:15:00,4782.64
2025-05-27 21:30:00,4921.96
2025-05-27 21:45:00,4958.23
2025-05-27 22:00:00,5006.4
2025-05-27 22:15:00,4948.52
2025-05-27 22:30:00,4907.8
2025-05-27 22:45:00,4825.74
2025-05-27 23:00:00,4902.26
2025-05-27 23:15:00,4892.48
2025-05-27 23:30:00,4840.59
2025-05-27 23:45:00,4833.28
2025-05-28 00:00:00,4523.25
2025-05-28 00:15:00,4447.52
2025-05-28 00:30:00,4311.86
2025-05-28 00:45:00,4212.45
2025-05-28 01:00:00,4179.26
2025-05-28 01:15:00,4098.6
2025-05-28 01:30:00,4064.82
2025-05-28 01:45:00,3928.8
2025-05-28 02:00:00,3894.93
2025-05-28 02:15:00,3873.93
2025-05-28 02:30:00,3782.87
2025-05-28 02:45:00,3804.18
2025-05-28 03:00:00,3742.12
2025-05-28 03:15:00,3707.86
2025-05-28 03:30:00,3643.04
2025-05-28 03:45:00,3676.06
2025-05-28 04:00:00,3548.24
2025-05-28 04:15:00,3587.55
2025-05-28 04:30:00,3544.35
2025-05-28 04:45:00,3602.7
2025-05-28 05:00:00,3574.73
2025-05-28 05:15:00,3578.38
2025-05-28 05:30:00,3579.18
2025-05-28 05:45:00,3598.01
2025-05-28 06:00:00,3599.45
2025-05-28 06:15:00,3594.48
2025-05-28 06:30:00,3564.38
2025-05-28 06:45:00,3571.38
2025-05-28 07:00:00,3529.46
2025-05-28 07:15:00,3466.15
2025-05-28 07:30:00,3430.9
2025-05-28 07:45:00,3341.81
2025-05-28 08:00:00,3388.92
2025-05-28 08:15:00,3308.41
2025-05-28 08:30:00,3287.92
2025-05-28 08:45:00,3279.78
2025-05-28 09:00:00,3353.86
2025-05-28 09:15:00,3445.67
2025-05-28 09:30:00,3428.81
2025-05-28 09:45:00,3456.22
2025-05-28 10:00:00,3483.44
2025-05-28 10:15:00,3479.97
2025-05-28 10:30:00,3497.92
2025-05-28 10:45:00,3473.29
2025-05-28 11:00:00,3518.74
2025-05-28 11:15:00,3449.64
2025-05-28 11:30:00,3464.66
2025-05-28 11:45:00,3510.75
2025-05-28 12:00:00,3527.71
2025-05-28 12:15:00,3487.48
2025-05-28 12:30:00,3519.23
2025-05-28 12:45:00,3563.41
2025-05-28 13:00:00,3453.93
2025-05-28 13:15:00,3520.61
2025-05-28 13:30:00,3601.58
2025-05-28 13:45:00,3613.65
2025-05-28 14:00:00,3728.72
2025-05-28 14:15:00,3812.76
2025-05-28 14:30:00,3874.02
2025-05-28 14:45:00,3938.69
2025-05-28 15:00:00,3994.59
2025-05-28 15:15:00,4120.29
2025-05-28 15:30:00,4096.06
2025-05-28 15:45:00,4108.25
2025-05-28 16:00:00,4096.08
2025-05-28 16:15:00,4138.47
2025-05-28 16:30:00,4212.65
2025-05-28 16:45:00,4170.31
2025-05-28 17:00:00,4120.15
2025-05-28 17:15:00,4168.24
2025-05-28 17:30:00,4068.9
2025-05-28 17:45:00,4065.52
2025-05-28 18:00:00,4035.94
2025-05-28 18:15:00,4036.7
2025-05-28 18:30:00,4235.55
2025-05-28 18:45:00,4390.75
2025-05-28 19:00:00,4510.71
2025-05-28 19:15:00,4607.87
2025-05-28 19:30:00,4541.18
2025-05-28 19:45:00,4636.46
2025-05-28 20:00:00,4589.6
2025-05-28 20:15:00,4615.87
2025-05-28 20:30:00,4496.17
2025-05-28 20:45:00,4530.97
2025-05-28 21:00:00,4625.49
2025-05-28 21:15:00,4564.79
2025-05-28 21:30:00,4643.71
2025-05-28 21:45:00,4797.5
2025-05-28 22:00:00,4818.54
2025-05-28 22:15:00,4858.67
2025-05-28 22:30:00,4694.84
2025-05-28 22:45:00,4658.92
2025-05-28 23:00:00,4750.41
2025-05-28 23:15:00,4617.37
2025-05-28 23:30:00,4645.68
2025-05-28 23:45:00,4542.34
2025-05-29 00:00:00,4545.06
2025-05-29 00:15:00,4479.53
2025-05-29 00:30:00,4305.62
2025-05-29 00:45:00,4212.22
2025-05-29 01:00:00,4197.39
2025-05-29 01:15:00,4056.77
2025-05-29 01:30:00,4054.33
2025-05-29 01:45:00,4029.35
2025-05-29 02:00:00,3922.77
2025-05-29 02:15:00,3871.05
2025-05-29 02:30:00,3854.42
2025-05-29 02:45:00,3736.83
2025-05-29 03:00:00,3794.71
2025-05-29 03:15:00,3723.42
2025-05-29 03:30:00,3659.19
2025-05-29 03:45:00,3663.14
2025-05-29 04:00:00,3632.14
2025-05-29 04:15:00,3576.25
2025-05-29 04:30:00,3579.91
2025-05-29 04:45:00,3625.63
2025-05-29 05:00:00,3525.19
2025-05-29 05:15:00,3534.17
2025-05-29 05:30:00,3534.1
2025-05-29 05:45:00,3592.94
2025-05-29 06:00:00,3628.66
2025-05-29 06:15:00,3591.28
2025-05-29 06:30:00,3648.97
2025-05-29 06:45:00,3614.09
2025-05-29 07:00:00,3580.37
2025-05-29 07:15:00,3513.01
2025-05-29 07:30:00,3437.92
2025-05-29 07:45:00,3394.03
2025-05-29 08:00:00,3326.82
2025-05-29 08:15:00,3384.18
2025-05-29 08:30:00,3337.74
2025-05-29 08:45:00,3325.01
2025-05-29 09:00:00,3342.27
2025-05-29 09:15:00,3408.67
2025-05-29 09:30:00,3450.8
2025-05-29 09:45:00,3455.11
2025-05-29 10:00:00,3482.75
2025-05-29 10:15:00,3501.02
2025-05-29 10:30:00,3528.81
2025-05-29 10:45:00,3515.29
2025-05-29 11:00:00,3465.4
2025-05-29 11:15:00,3509.6
2025-05-29 11:30:00,3459.94
2025-05-29 11:45:00,3543.07
2025-05-29 12:00:00,3568.5
2025-05-29 12:15:00,3559.52
2025-05-29 12:30:00,3558.94
2025-05-29 12:45:00,3524.24
2025-05-29 13:00:00,3518.36
2025-05-29 13:15:00,3549.14
2025-05-29 13:30:00,3547.28
2025-05-29 13:45:00,3603.25
2025-05-29 14:00:00,3770.99
2025-05-29 14:15:00,3875.52
2025-05-29 14:30:00,3971.81
2025-05-29 14:45:00,3955.43
2025-05-29 15:00:00,4041.9
2025-05-29 15:15:00,4153.56
2025-05-29 15:30:00,4083.79
2025-05-29 15:45:00,4223.47
2025-05-29 16:00:00,4091.15
2025-05-29 16:15:00,4198.89
2025-05-29 16:30:00,4178.37
2025-05-29 16:45:00,4179.66
2025-05-29 17:00:00,4148.31
2025-05-29 17:15:00,4079.55
2025-05-29 17:30:00,4133.49
2025-05-29 17:45:00,4106.87
2025-05-29 18:00:00,4070.01
2025-05-29 18:15:00,4097.33
2025-05-29 18:30:00,4299.24
2025-05-29 18:45:00,4512.86
2025-05-29 19:00:00,4581.17
2025-05-29 19:15:00,4587.5
2025-05-29 19:30:00,4646.16
2025-05-29 19:45:00,4634.22
2025-05-29 20:00:00,4661.95
2025-05-29 20:15:00,4560.85
2025-05-29 20:30:00,4521.5
