ts,value,lag_1d,lag_2d,lag_7d,block_sin,block_cos,dow,is_weekend,month_sin,month_cos,is_holiday,temperature_2m,cloud_cover,precipitation
2025-06-03 00:00:00,4046.15,4013.54,3842.29,4668.81,0.06540312923014306,0.9978589232386035,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 00:15:00,4009.19,4055.27,3845.65,4583.86,0.13052619222005157,0.9914448613738104,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 00:30:00,3862.45,3913.85,3794.66,4443.09,0.19509032201612825,0.9807852804032304,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 00:45:00,3855.95,3869.76,3729.56,4459.67,0.25881904510252074,0.9659258262890683,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 01:00:00,3832.12,3761.06,3641.49,4357.34,0.3214394653031616,0.9469301294951057,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 01:15:00,3739.68,3737.74,3538.73,4247.36,0.3826834323650898,0.9238795325112867,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 01:30:00,3639.09,3716.85,3550.75,4206.18,0.44228869021900125,0.8968727415326884,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 01:45:00,3563.21,3605.43,3468.69,4160.14,0.49999999999999994,0.8660254037844387,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 02:00:00,3602.48,3591.88,3459.46,4009.35,0.5555702330196022,0.8314696123025452,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 02:15:00,3502.12,3515.63,3405.6,3982.54,0.6087614290087207,0.7933533402912352,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 02:30:00,3491.07,3496.32,3297.15,3976.13,0.6593458151000688,0.7518398074789774,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 02:45:00,3406.67,3450.27,3313.6,3921.91,0.7071067811865476,0.7071067811865476,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 03:00:00,3405.01,3406.45,3254.54,3901.44,0.7518398074789774,0.6593458151000688,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 03:15:00,3371.26,3367.45,3212.68,3866.56,0.7933533402912352,0.6087614290087207,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 03:30:00,3307.1,3338.62,3165.36,3855.13,0.8314696123025451,0.5555702330196024,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 03:45:00,3275.54,3281.4,3150.71,3729.58,0.8660254037844386,0.5000000000000001,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 04:00:00,3291.91,3318.21,3173.65,3716.05,0.8968727415326884,0.44228869021900125,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 04:15:00,3273.08,3253.62,3087.08,3765.06,0.9238795325112867,0.38268343236508984,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 04:30:00,3199.77,3287.55,3143.22,3730.93,0.9469301294951056,0.3214394653031617,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 04:45:00,3199.26,3191.42,3110.08,3695.68,0.9659258262890683,0.25881904510252074,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 05:00:00,3219.22,3268.0,3142.88,3654.07,0.9807852804032304,0.19509032201612833,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 05:15:00,3234.12,3210.77,3120.0,3722.23,0.9914448613738104,0.1305261922200517,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 05:30:00,3230.72,3283.19,3088.81,3703.95,0.9978589232386035,0.06540312923014327,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
2025-06-03 05:45:00,3234.66,3264.2,3072.68,3694.13,1.0,6.123233995736766e-17,1,0,1.2246467991473532e-16,-1.0,0,0.0,0.0,0.0
