ts,raw_price
2025-05-27 00:00:00,3946.47
2025-05-27 00:15:00,4004.82
2025-05-27 00:30:00,3841.16
2025-05-27 00:45:00,3924.4
2025-05-27 01:00:00,3829.04
2025-05-27 01:15:00,3914.3
2025-05-27 01:30:00,3819.37
2025-05-27 01:45:00,3775.86
2025-05-27 02:00:00,3848.57
2025-05-27 02:15:00,3801.95
2025-05-27 02:30:00,3829.78
2025-05-27 02:45:00,3809.69
2025-05-27 03:00:00,3868.9
2025-05-27 03:15:00,3998.13
2025-05-27 03:30:00,3747.53
2025-05-27 03:45:00,3963.36
2025-05-27 04:00:00,3932.7
2025-05-27 04:15:00,3788.99
2025-05-27 04:30:00,3936.57
2025-05-27 04:45:00,3743.55
2025-05-27 05:00:00,3702.19
2025-05-27 05:15:00,3987.29
2025-05-27 05:30:00,3791.2
2025-05-27 05:45:00,3843.57
2025-05-27 06:00:00,3976.9
2025-05-27 06:15:00,4185.88
2025-05-27 06:30:00,4109.69
2025-05-27 06:45:00,4131.88
2025-05-27 07:00:00,4380.41
2025-05-27 07:15:00,4396.51
2025-05-27 07:30:00,4493.24
2025-05-27 07:45:00,4471.28
2025-05-27 08:00:00,4859.83
2025-05-27 08:15:00,4695.36
2025-05-27 08:30:00,4967.13
2025-05-27 08:45:00,4631.44
2025-05-27 09:00:00,4490.91
2025-05-27 09:15:00,4462.63
2025-05-27 09:30:00,4214.27
2025-05-27 09:45:00,4263.14
2025-05-27 10:00:00,3927.54
2025-05-27 10:15:00,3733.45
2025-05-27 10:30:00,3698.44
2025-05-27 10:45:00,3452.32
2025-05-27 11:00:00,3022.58
2025-05-27 11:15:00,3084.17
2025-05-27 11:30:00,2826.96
2025-05-27 11:45:00,2661.79
2025-05-27 12:00:00,2509.28
2025-05-27 12:15:00,2486.21
2025-05-27 12:30:00,2346.31
2025-05-27 12:45:00,2307.22
2025-05-27 13:00:00,2276.37
2025-05-27 13:15:00,2283.9
2025-05-27 13:30:00,2374.83
2025-05-27 13:45:00,2556.9
2025-05-27 14:00:00,2636.59
2025-05-27 14:15:00,2686.78
2025-05-27 14:30:00,2790.81
2025-05-27 14:45:00,2821.41
2025-05-27 15:00:00,3044.14
2025-05-27 15:15:00,3163.3
2025-05-27 15:30:00,3252.82
2025-05-27 15:45:00,3531.16
2025-05-27 16:00:00,3494.19
2025-05-27 16:15:00,3810.12
2025-05-27 16:30:00,3949.81
2025-05-27 16:45:00,3952.66
2025-05-27 17:00:00,4297.46
2025-05-27 17:15:00,4378.53
2025-05-27 17:30:00,4556.09
2025-05-27 17:45:00,5260.49
2025-05-27 18:00:00,5539.51
2025-05-27 18:15:00,10000.0
2025-05-27 18:30:00,6319.38
2025-05-27 18:45:00,6813.23
2025-05-27 19:00:00,7086.2
2025-05-27 19:15:00,7323.78
2025-05-27 19:30:00,7861.45
2025-05-27 19:45:00,8365.76
2025-05-27 20:00:00,8567.34
2025-05-27 20:15:00,7940.95
2025-05-27 20:30:00,7846.01
2025-05-27 20:45:00,7608.13
2025-05-27 21:00:00,6965.55
2025-05-27 21:15:00,6859.94
2025-05-27 21:30:00,6068.86
2025-05-27 21:45:00,5907.14
2025-05-27 22:00:00,5648.89
2025-05-27 22:15:00,5115.96
2025-05-27 22:30:00,4517.64
2025-05-27 22:45:00,4390.25
2025-05-27 23:00:00,4190.65
2025-05-27 23:15:00,4105.3
2025-05-27 23:30:00,3928.75
2025-05-27 23:45:00,3810.23
2025-05-28 00:00:00,3256.51
2025-05-28 00:15:00,3445.35
2025-05-28 00:30:00,3295.08
2025-05-28 00:45:00,3345.85
2025-05-28 01:00:00,3181.26
2025-05-28 01:15:00,3280.07
2025-05-28 01:30:00,3207.06
2025-05-28 01:45:00,3281.45
2025-05-28 02:00:00,3209.68
2025-05-28 02:15:00,3439.61
2025-05-28 02:30:00,3334.22
2025-05-28 02:45:00,3320.91
2025-05-28 03:00:00,3175.93
2025-05-28 03:15:00,3138.47
2025-05-28 03:30:00,3159.52
2025-05-28 03:45:00,3384.7
2025-05-28 04:00:00,3224.89
2025-05-28 04:15:00,3173.68
2025-05-28 04:30:00,3299.59
2025-05-28 04:45:00,3191.37
2025-05-28 05:00:00,3300.41
2025-05-28 05:15:00,3246.71
2025-05-28 05:30:00,3267.21
2025-05-28 05:45:00,3552.45
2025-05-28 06:00:00,3360.17
2025-05-28 06:15:00,3528.85
2025-05-28 06:30:00,3588.05
2025-05-28 06:45:00,3771.49
2025-05-28 07:00:00,3901.0
2025-05-28 07:15:00,3680.89
2025-05-28 07:30:00,3804.53
2025-05-28 07:45:00,3934.77
2025-05-28 08:00:00,4195.07
2025-05-28 08:15:00,4185.68
2025-05-28 08:30:00,3948.94
2025-05-28 08:45:00,3962.22
2025-05-28 09:00:00,3879.92
2025-05-28 09:15:00,4080.68
2025-05-28 09:30:00,3592.73
2025-05-28 09:45:00,3660.9
2025-05-28 10:00:00,3292.53
2025-05-28 10:15:00,3302.31
2025-05-28 10:30:00,2984.27
2025-05-28 10:45:00,2926.29
2025-05-28 11:00:00,2826.21
2025-05-28 11:15:00,2656.37
2025-05-28 11:30:00,2337.77
2025-05-28 11:45:00,2243.78
2025-05-28 12:00:00,2251.12
2025-05-28 12:15:00,2118.85
2025-05-28 12:30:00,2105.81
2025-05-28 12:45:00,2094.12
2025-05-28 13:00:00,1940.07
2025-05-28 13:15:00,1959.02
2025-05-28 13:30:00,2154.92
2025-05-28 13:45:00,2121.05
2025-05-28 14:00:00,2189.17
2025-05-28 14:15:00,2274.01
2025-05-28 14:30:00,2394.2
2025-05-28 14:45:00,2497.34
2025-05-28 15:00:00,2697.85
2025-05-28 15:15:00,2588.19
2025-05-28 15:30:00,2897.81
2025-05-28 15:45:00,3045.46
2025-05-28 16:00:00,3132.12
2025-05-28 16:15:00,3243.66
2025-05-28 16:30:00,3147.55
2025-05-28 16:45:00,3329.73
2025-05-28 17:00:00,3645.54
2025-05-28 17:15:00,3799.22
2025-05-28 17:30:00,4163.8
2025-05-28 17:45:00,4187.69
2025-05-28 18:00:00,4668.08
2025-05-28 18:15:00,4845.42
2025-05-28 18:30:00,5429.94
2025-05-28 18:45:00,6183.88
2025-05-28 19:00:00,6250.3
2025-05-28 19:15:00,6959.74
2025-05-28 19:30:00,7247.52
2025-05-28 19:45:00,6830.91
2025-05-28 20:00:00,7418.82
2025-05-28 20:15:00,7320.28
2025-05-28 20:30:00,7214.6
2025-05-28 20:45:00,6689.66
2025-05-28 21:00:00,6407.39
2025-05-28 21:15:00,5707.33
2025-05-28 21:30:00,5325.65
2025-05-28 21:45:00,5290.42
2025-05-28 22:00:00,4795.97
2025-05-28 22:15:00,4337.7
2025-05-28 22:30:00,4003.09
2025-05-28 22:45:00,3860.02
2025-05-28 23:00:00,3737.64
2025-05-28 23:15:00,3499.76
2025-05-28 23:30:00,3609.15
2025-05-28 23:45:00,3489.13
2025-05-29 00:00:00,3550.59
2025-05-29 00:15:00,3735.49
2025-05-29 00:30:00,3497.48
2025-05-29 00:45:00,3447.17
2025-05-29 01:00:00,3514.03
2025-05-29 01:15:00,3432.41
2025-05-29 01:30:00,3386.16
2025-05-29 01:45:00,3617.77
2025-05-29 02:00:00,3469.86
2025-05-29 02:15:00,3550.99
2025-05-29 02:30:00,3614.16
2025-05-29 02:45:00,3429.71
2025-05-29 03:00:00,3559.28
2025-05-29 03:15:00,3497.22
2025-05-29 03:30:00,3351.02
2025-05-29 03:45:00,3518.79
2025-05-29 04:00:00,3367.73
2025-05-29 04:15:00,3630.78
2025-05-29 04:30:00,3403.2
2025-05-29 04:45:00,3553.92
2025-05-29 05:00:00,3568.26
2025-05-29 05:15:00,3521.98
2025-05-29 05:30:00,3680.89
2025-05-29 05:45:00,3651.47
2025-05-29 06:00:00,3500.93
2025-05-29 06:15:00,3634.98
2025-05-29 06:30:00,3962.68
2025-05-29 06:45:00,3757.8
2025-05-29 07:00:00,4144.24
2025-05-29 07:15:00,4212.45
2025-05-29 07:30:00,4006.37
2025-05-29 07:45:00,4190.19
2025-05-29 08:00:00,4290.64
2025-05-29 08:15:00,4531.54
2025-05-29 08:30:00,4520.49
2025-05-29 08:45:00,4252.1
2025-05-29 09:00:00,4311.79
2025-05-29 09:15:00,3988.92
2025-05-29 09:30:00,3834.67
2025-05-29 09:45:00,3849.54
2025-05-29 10:00:00,3542.54
2025-05-29 10:15:00,3370.04
2025-05-29 10:30:00,3302.75
2025-05-29 10:45:00,3099.54
2025-05-29 11:00:00,2983.46
2025-05-29 11:15:00,2820.33
2025-05-29 11:30:00,2631.25
2025-05-29 11:45:00,2549.16
2025-05-29 12:00:00,2456.23
2025-05-29 12:15:00,2334.22
2025-05-29 12:30:00,2134.98
2025-05-29 12:45:00,2090.11
2025-05-29 13:00:00,2112.72
2025-05-29 13:15:00,2217.8
2025-05-29 13:30:00,2228.88
2025-05-29 13:45:00,2337.89
2025-05-29 14:00:00,2357.39
2025-05-29 14:15:00,2417.8
2025-05-29 14:30:00,2428.85
2025-05-29 14:45:00,2694.43
2025-05-29 15:00:00,2785.35
2025-05-29 15:15:00,2808.07
2025-05-29 15:30:00,3122.39
2025-05-29 15:45:00,3210.58
2025-05-29 16:00:00,3300.74
2025-05-29 16:15:00,3203.67
2025-05-29 16:30:00,3513.53
2025-05-29 16:45:00,3800.07
2025-05-29 17:00:00,3862.27
2025-05-29 17:15:00,4212.73
2025-05-29 17:30:00,4295.25
2025-05-29 17:45:00,4618.22
2025-05-29 18:00:00,5146.71
2025-05-29 18:15:00,5525.55
2025-05-29 18:30:00,5813.66
2025-05-29 18:45:00,6455.46
2025-05-29 19:00:00,6664.82
2025-05-29 19:15:00,6948.4
2025-05-29 19:30:00,7445.75
2025-05-29 19:45:00,7868.44
2025-05-29 20:00:00,7933.19
2025-05-29 20:15:00,7544.14
2025-05-29 20:30:00,7652.18
2025-05-29 20:45:00,10000.0
2025-05-29 21:00:00,6797.79
2025-05-29 21:15:00,6274.52
2025-05-29 21:30:00,5916.66
2025-05-29 21:45:00,5343.93
2025-05-29 22:00:00,4981.42
2025-05-29 22:15:00,4849.65
2025-05-29 22:30:00,4355.63
2025-05-29 22:45:00,4304.37
2025-05-29 23:00:00,3904.08
2025-05-29 23:15:00,3936.93
2025-05-29 23:30:00,3829.69
2025-05-29 23:45:00,3515.27
2025-05-30 00:00:00,4169.08
2025-05-30 00:15:00,3901.88
2025-05-30 00:30:00,4049.15
2025-05-30 00:45:00,4100.07
2025-05-30 01:00:00,3972.76
2025-05-30 01:15:00,3822.58
2025-05-30 01:30:00,3765.92
2025-05-30 01:45:00,3906.75
2025-05-30 02:00:00,3781.88
2025-05-30 02:15:00,4076.53
2025-05-30 02:30:00,3807.43
2025-05-30 02:45:00,3760.71
2025-05-30 03:00:00,3984.92
2025-05-30 03:15:00,3982.73
2025-05-30 03:30:00,3852.88
2025-05-30 03:45:00,3800.68
2025-05-30 04:00:00,4020.33
2025-05-30 04:15:00,3718.8
2025-05-30 04:30:00,4018.64
2025-05-30 04:45:00,3837.66
2025-05-30 05:00:00,3908.03
2025-05-30 05:15:00,3797.36
2025-05-30 05:30:00,3910.27
2025-05-30 05:45:00,3801.32
2025-05-30 06:00:00,4126.69
2025-05-30 06:15:00,4105.84
2025-05-30 06:30:00,4260.78
2025-05-30 06:45:00,4275.25
2025-05-30 07:00:00,4476.58
2025-05-30 07:15:00,4469.98
2025-05-30 07:30:00,4894.88
2025-05-30 07:45:00,4832.46
2025-05-30 08:00:00,4639.02
2025-05-30 08:15:00,4674.09
2025-05-30 08:30:00,4737.02
2025-05-30 08:45:00,5090.0
2025-05-30 09:00:00,4612.23
2025-05-30 09:15:00,4685.95
2025-05-30 09:30:00,4375.24
2025-05-30 09:45:00,4186.32
2025-05-30 10:00:00,4196.73
2025-05-30 10:15:00,3849.82
2025-05-30 10:30:00,3754.16
2025-05-30 10:45:00,3331.03
2025-05-30 11:00:00,3170.21
2025-05-30 11:15:00,2922.34
2025-05-30 11:30:00,3019.42
2025-05-30 11:45:00,2618.81
2025-05-30 12:00:00,2739.8
2025-05-30 12:15:00,2618.18
2025-05-30 12:30:00,2333.44
2025-05-30 12:45:00,2344.79
2025-05-30 13:00:00,2414.35
2025-05-30 13:15:00,2370.39
2025-05-30 13:30:00,2372.55
2025-05-30 13:45:00,2393.36
