ts,raw_inflow
2025-05-27 00:00:00,100.579
2025-05-27 00:15:00,100.58
2025-05-27 00:30:00,100.581
2025-05-27 00:45:00,100.582
2025-05-27 01:00:00,100.583
2025-05-27 01:15:00,100.585
2025-05-27 01:30:00,100.588
2025-05-27 01:45:00,100.591
2025-05-27 02:00:00,100.595
2025-05-27 02:15:00,100.601
2025-05-27 02:30:00,100.608
2025-05-27 02:45:00,100.616
2025-05-27 03:00:00,100.627
2025-05-27 03:15:00,100.64
2025-05-27 03:30:00,100.657
2025-05-27 03:45:00,100.678
2025-05-27 04:00:00,100.703
2025-05-27 04:15:00,100.733
2025-05-27 04:30:00,100.77
2025-05-27 04:45:00,100.815
2025-05-27 05:00:00,100.868
2025-05-27 05:15:00,100.931
2025-05-27 05:30:00,101.007
2025-05-27 05:45:00,101.095
2025-05-27 06:00:00,101.199
2025-05-27 06:15:00,101.32
2025-05-27 06:30:00,101.46
2025-05-27 06:45:00,101.621
2025-05-27 07:00:00,101.805
2025-05-27 07:15:00,102.014
2025-05-27 07:30:00,102.251
2025-05-27 07:45:00,102.517
2025-05-27 08:00:00,102.814
2025-05-27 08:15:00,103.144
2025-05-27 08:30:00,103.507
2025-05-27 08:45:00,103.906
2025-05-27 09:00:00,104.34
2025-05-27 09:15:00,104.809
2025-05-27 09:30:00,105.313
2025-05-27 09:45:00,105.85
2025-05-27 10:00:00,106.419
2025-05-27 10:15:00,107.017
2025-05-27 10:30:00,107.642
2025-05-27 10:45:00,108.288
2025-05-27 11:00:00,108.951
2025-05-27 11:15:00,109.626
2025-05-27 11:30:00,110.306
2025-05-27 11:45:00,110.985
2025-05-27 12:00:00,111.657
2025-05-27 12:15:00,112.312
2025-05-27 12:30:00,112.945
2025-05-27 12:45:00,113.546
2025-05-27 13:00:00,114.11
2025-05-27 13:15:00,114.627
2025-05-27 13:30:00,115.091
2025-05-27 13:45:00,115.495
2025-05-27 14:00:00,115.835
2025-05-27 14:15:00,116.104
2025-05-27 14:30:00,116.3
2025-05-27 14:45:00,116.418
2025-05-27 15:00:00,116.458
2025-05-27 15:15:00,116.418
2025-05-27 15:30:00,116.3
2025-05-27 15:45:00,116.104
2025-05-27 16:00:00,115.835
2025-05-27 16:15:00,115.495
2025-05-27 16:30:00,115.091
